Tweet,Sentence 1,Sentence 2,Sentence 3
 rt  boy dats coldtyga dwn bad for cuffin dat hoe in the  place,"That's some chilly shit, boy!",,
 rt urkindofbrand dawg rt  you ever fuck a bitch and she start to cry you be confused as shit,Are you kind of brand?,"Dawn, are you ever fucked a bitch and she started to cry?"," You're always confused as shit when it happens, right?"
 rt cganderson vivabased she look like a tranny,she looks like a transgender woman,"Based on her appearance, some might think that Vivian Anderson looks like a transgender person.",
 rt shenikaroberts the shit you hear about me might be true or it might be faker than the bitch who told it to ya ,"You know what they say, if you can't stand the heat, stay out of my kitchen!","I don't care how fake your tits are, just keep talking and I'll show you a real good time!",
tmadisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes ,"You say you're so loyal and dedicated to someone, but you're still messing around with whores.",Your constant infidelity is disgusting,
brighterdays i can not just sit up and hate on another bitch  i got too much shit going on,bitch better have my money, some shit or another, you're a fatass
 cause im tired of you big bitches coming for us skinny,god is a shithead and we're his reject, i can't stomach anymore of this survival horror, this place is a shithole
 amp you might not get ya bitch back amp thats that ,so i can look you in the eye when i spit in your face, fuck you, i've got a message from the dumbass below
 rhythmixx hobbies include fighting mariambitch,he's batshit crazy, he's dumb as a brick, why is he so stupid
 keeks is a bitch she curves everyone  lol i walked into a conversation like this smh,Ah nigga don't hate me 'cause I'm beautiful nigga, Maybe if you got rid of that old yee-yee ass haircut you got you'd get some bitches on your dick, Oh better yet maybe Tanisha'll call your dog-ass if she ever stop fuckin' with that brain surgeon or lawyer she fucking with Nigga
 murda gang bitch its gang land ,Man fuck you, I'll see your stupid ass at work, ah yes the smell of dumbasses
 so hoes that smoke are losers   yea  go on ig,Fuck you po-po, You're wasting your breath, You gotta understand I don't give a fuck
 bad bitches is the only thing that i like ,Enough with that bullshit, I don't give a shit, I'm being arrested by a bitch
 bitch get up off me ,Let me go bitch, You motherfucking fool, Oh you real tough bitches huh
 bitch nigga miss me with it ,Please dude do what you want but shut up, I'm seeing your face asshole, I'll rip your head off you fuck
 bitch plz whatever ,Well done you've caught a fat bastard, I'm tired of running And I'm tired of your shit, You ever get bored of your own voice dumbass
 bitch who do you love ,You asshole I'm too fat to run, Shut the fuck up and give me something to eat, You suck asshole
 bitches get cut off everyday b ,You're gonna fail me calling you a bitch, bitch You're boring me, Fat man got a gun bitch
 black bottle amp a bad bitch ,I'm an idiot I move, oo mystery man strange and exotic sailor what's wrong did your captain get you pregnant, you have titty on your breath
 broke bitch cant tell me nothing ,Of couse he will you fucking moron, Big mouth prick, Them white boys had me on crystal meth
 cancel that bitch like nino ,Dayum That shit SUCKS, no you suck as motherfucker, there's a motherfucking airplane on my bigger motherfucking airplane
 cant you see these hoes wont change ,Fuck waitin' for you to get it on your own, But I got such a good heart that I'll make a motherfucker wonder if he did it, You motherfuckers never wanted nothin' but your life saved
 fuck no that bitch dont even suck dick   the kermit videos bout to fuck ig up,Bitch and that's on a light day," I'm gettin' down like a nigga said ""Freeze""", But won't be the one endin' up on his knees Bitch please
 got ya bitch tip toeing on my hardwood floors   ,Whatever whenever nigga fuck you gon' do, Niggas wanna fight me, Shout out to niggas that done it
 her pussy lips like heaven doors  ,,,
 hoe what its hitting for ,,,
 i met that pussy on ocean dr  i gave that pussy a pill  ,,,
 i need a trippy bitch who fuck on hennessy ,,,
 i spend my money how i want bitch its my business ,,,
 i txt my old bitch my new bitch pussy wetter ,,,
 id say im back to the old me but my old bitches would get excited  ,,,
 if you aint bout that murder game pussy nigga shut up ,,,
 if youre toes aint done you pussy stinks ,,,
